mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
631612379,'bili_51986030377',5000,0,0,0,0,0,1,0
631612380,'月黑风高无处可逃',10000,0,0,0,1,0,0,0
631612384,'慕雪挽歌',10000,0,0,0,0,0,0,0
631612386,'流霜孤月轮',10000,0,0,0,0,0,3,0
631612388,'隔壁老马嘚',10000,0,1,0,0,0,8,0
631612394,'bili_94588857101',5000,0,0,0,0,0,18,0
631612397,'bili_59600689193',10000,0,0,0,1,0,2,0
631612401,'bili_11879061013',5000,0,0,0,1,0,1,0
631612403,'bili_55749798630',5000,0,0,0,0,0,1,0
631612404,'bili_90500293004',10000,0,0,0,0,0,3,0
631612405,'z1lich',5000,1,0,0,0,0,2,0
631612412,'bili_67445990346',5000,0,0,0,0,0,1,0
631612413,'小糖未双',10000,1,0,1,1,0,78,0
631612414,'bili_13936730720',5000,0,0,0,1,0,0,0
631612419,'眠眠不吃鱼',5000,1,0,0,1,0,3,0
631612420,'虹卍阳',5000,0,0,0,0,0,1,0
631612432,'是小江同学吖',10000,0,0,0,0,0,0,0
631612433,'bili_99861046705',5000,0,0,0,0,0,1,0
631612434,'bili_54148390556',5000,0,0,0,1,0,0,0
631612435,'bili_96007085979',5000,0,0,0,0,0,6,1
631612436,'花开月下不见君',10000,0,0,0,0,0,3,0
631612437,'bili_20883175968',5000,0,0,0,0,0,11,0
631612440,'弦风欲语',10000,0,0,1,0,0,50,0
631612447,'城府邸余',10000,0,0,1,1,0,39,0
631612462,'bili_70869207759',5000,0,0,0,0,0,1,0
631612464,'bili_27001697315',5000,0,0,0,0,0,3,0
631612465,'bili_66692884004',5000,0,0,0,0,0,5,0
631612468,'bili_30666368711',5000,0,0,0,0,0,5,0
631612473,'朝--颜',10000,0,0,1,0,0,19,0
631612477,'bili_14157618933',5000,0,0,0,0,0,3,0
631612492,'b游者',10000,0,0,0,0,0,4,0
631612493,'bili_66789314867',10000,0,0,0,0,0,1,0
631612496,'bili_27882142387',10000,0,0,0,0,0,4,0
631612498,'bili_83771111147',5000,0,0,0,0,0,7,0
631612500,'bili_35187484944',10000,0,0,0,0,0,1,0
631612505,'脑瘫精灵二号',5000,0,0,0,0,0,6,0
631612506,'bili_80586678927',5000,0,0,0,1,0,1,0
631612509,'三叶悠',10000,0,0,0,0,0,1,0
631612510,'JiaYing18',10000,0,0,0,0,0,0,0
631612511,'bili_74549296903',5000,0,0,0,0,0,2,0
631612513,'bili_49104921771',5000,0,0,0,0,0,2,0
631612514,'bili_33075976031',5000,0,0,0,0,0,2,0
631612515,'酸酸阿柠',10000,0,0,1,1,0,21,2
631612526,'也是夸张了点',10000,0,0,1,2,1,31,0
631612533,'bili_67208396032',10000,0,0,0,0,0,1,0
631612534,'刘骜先生',5000,0,0,0,0,0,16,0
631612537,'bili_33145679495',5000,0,0,0,0,0,8,0
631612543,'bili_91014809438',5000,0,0,0,0,0,2,0
631612549,'bili_26997171710',5000,0,0,0,0,0,6,0
631612550,'dd的lili',5000,0,0,0,1,0,14,1
631612556,'bili_81028227288',5000,0,0,0,0,0,1,0
631612559,'sage巍',10000,0,0,1,0,0,3,0
631612565,'小鲤鱼呀耶',10000,0,1,1,0,0,109,2
631612570,'bili_52457744024',10000,0,0,0,0,0,8,0
631612573,'bili_52553349398',5000,0,0,0,0,0,29,0
631612574,'所幸_uckl',10000,0,0,0,1,1,5,0
631612577,'sangyan187',10000,1,0,0,0,0,3,0
631612579,'飞翔的豌豆2022',10000,0,0,0,0,0,39,0
631612584,'bili_96113496992',5000,0,0,0,1,0,0,0
